Feature Scenario,Testcase Title,TestcaseId,Testcase Precondition,Testcase steps,Expected Result
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_309,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_310,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_311,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_312,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_313,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_314,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_315,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_316,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_317,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_318,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_319,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_320,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_321,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_322,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_323,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_324,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_325,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_326,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_327,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_328,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_329,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_330,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_331,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_332,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_333,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_334,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_335,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_336,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_337,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_338,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_339,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_340,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_341,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_342,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_343,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_344,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_345,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_346,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_347,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_348,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_349,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_350,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_351,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_352,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_353,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_354,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_355,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_356,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_357,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_358,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_359,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_360,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_361,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_362,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_363,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_364,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_365,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_366,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_367,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_368,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_369,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_370,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_371,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_372,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_373,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_374,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_375,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_376,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_377,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_378,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_379,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_380,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_381,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_382,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_383,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_384,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_385,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_386,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_387,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_388,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_389,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_390,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_391,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_392,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_393,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_394,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_395,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_396,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_397,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_398,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_399,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_400,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_401,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_402,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_403,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_404,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_405,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_406,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_407,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_408,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_409,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_410,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_411,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_412,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_413,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_414,same as above,,
