Feature Scenario,Testcase Title,TestcaseId,Testcase Precondition,Testcase steps,Expected Result
Get access by Id,Get access by Id,FS_TC_66,same as above,,
Get access by Id,Get access by Invalid Id,FS_TC_67,same as above,,
Delete access by Id,Delete access by Id,FS_TC_68,same as above,,
Delete access by Id,Delete access by Invalid Id,FS_TC_69,same as above,,
List accesses,List all access,FS_TC_70,same as above,,
Create file profile,"Create file profile by specifying name, storage type, description",FS_TC_71,same as above,,
Get file profile,Get file profile,FS_TC_72,same as above,,
Create file share ,"Create file share by specifying name, description, size, profileId",FS_TC_73,same as above,,
Delete file share,Delete file share by specified file share Id,FS_TC_74,same as above,,
Get file share ,Get file share by specifying file share Id,FS_TC_75,same as above,,
List file shares,List all file shares,FS_TC_76,same as above,,
Update file share,Update file share by updating name and description,FS_TC_77,same as above,,
Create file share Acl,"Create file share Acl by specifying description, profileId, Type, AccessCapability, AccessTo, FileShareId",FS_TC_78,same as above,,
Get file share Acl,Get file share Acl by specifying file share Id,FS_TC_79,same as above,,
List file share Acls,List file share Acls,FS_TC_80,same as above,,
Create file share snapshot,"Create file share snapshot by specifying name, description, fileshareId",FS_TC_81,same as above,,
Get file share snapshot,Get file share snapshot by specifying snapshotId,FS_TC_82,same as above,,
List file share snapshots,List all file share snapshots,FS_TC_83,same as above,,
Update file share snapshot,Update file share snapshot name and description,FS_TC_84,same as above,,
Delete file share Acl,Delete file share Acl by specifying AclId,FS_TC_85,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_86,same as above,,
Delete file profile,Delete file profile by specifying file profile,FS_TC_87,same as above,,
API server UT - list file shares,Should return 200 if everything works well,FS_TC_88,same as above,,
API server UT - list file shares,Should return 500 if list file share with bad request,FS_TC_89,same as above,,
API server UT - Get file share,Should return 200 if everything works well,FS_TC_90,same as above,,
API server UT - Get file share,Should return 404 if get file share replication with bad request,FS_TC_91,same as above,,
API server UT - Update file share,Should return 200 if everything works well,FS_TC_92,same as above,,
API server UT - Update file share,Should return 400 empty fileshare name is not allowed,FS_TC_93,same as above,,
API server UT - Update file share,Should return 400 fileshare name length should not be more than 255 characters,FS_TC_94,same as above,,
API server UT - Update file share,Should return 400 invalid fileshare name because it has some special characters,FS_TC_95,same as above,,
API server UT - Update file share,Should return 400 invalid fileshare description and it has some special characters,FS_TC_96,same as above,,
API server UT - Update file share,Should return 500 if update file share with bad request,FS_TC_97,same as above,,
API server UT - list file share snapshot,Should return 200 if everything works well,FS_TC_98,same as above,,
API server UT - list file share snapshot,Should return 500 if list fileshare snapshots with bad request,FS_TC_99,same as above,,
API server UT - Get file share snapshot,Should return 200 if everything works well,FS_TC_100,same as above,,
API server UT - Get file share snapshot,Should return 404 if get fileshare group with bad request,FS_TC_101,same as above,,
API server UT - Update file share snapshot,Should return 200 if everything works well,FS_TC_102,same as above,,
API server UT - Update file share snapshot,Should return 500 if update fileshare snapshot with bad request,FS_TC_103,same as above,,
DB UT - Create file share DB entry,Everything should work well,FS_TC_104,same as above,,
DB UT - Create file share DB entry,Delete file share snapshot by specifying by snapshotId,FS_TC_105,same as above,,
DB UT - Create file share DB entry,The size of fileshare created should be greater than zero,FS_TC_106,same as above,,
DB UT - Create file share DB entry,The profile id should not be empty,FS_TC_107,same as above,,
DB UT - Create file share DB entry,Empty file share name is allowed,FS_TC_108,same as above,,
DB UT - Create file share DB entry,File share name length equal to 0 character are not allowed,FS_TC_109,same as above,,
DB UT - Create file share DB entry,File share name length equal to 1 character are allowed,FS_TC_110,same as above,,
DB UT - Create file share DB entry,File share name length equal to 10 characters are allowed,FS_TC_111,same as above,,
DB UT - Create file share DB entry,File share name length equal to 254 characters are allowed,FS_TC_112,same as above,,
DB UT - Create file share DB entry,File share name length equal to 255 characters are allowed,FS_TC_113,same as above,,
DB UT - Create file share DB entry,File share name length more than 255 characters are not allowed,FS_TC_114,same as above,,
DB UT - Create file share DB entry,File share name length more than 257 characters are not allowed,FS_TC_115,same as above,,
DB UT - Create file share DB entry,Special characters in file share name are not allowed,FS_TC_116,same as above,,
DB UT - Create file share DB entry,Special characters in file share description are not allowed,FS_TC_117,same as above,,
DB UT - Create file share DB entry,Duplicate file share name are not allowed,FS_TC_118,same as above,,
DB UT - Create file share DB entry,Overwritting existing file share resource are not allowed,FS_TC_119,same as above,,
DB UT - Delete file share DB entry,FileShare to be deleted should not be in-use,FS_TC_120,same as above,,
DB UT - Delete file share DB entry,FileShare should not be deleted if it has dependent snapshots,FS_TC_121,same as above,,
DB UT - Delete file share DB entry,FileShare should not be deleted if it has dependent acls,FS_TC_122,same as above,,
DB UT - Delete file share DB entry,FileShare deletion when it is available,FS_TC_123,same as above,,
DB UT - Delete file share ACL DB entry,FileShareAcl to be deleted should not be in-use,FS_TC_124,same as above,,
DB UT - Delete file share ACL DB entry,FileShareAcl deletion when everything works fine,FS_TC_125,same as above,,
DB UT - Create file share ACL DB entry,Everything should work well,FS_TC_126,same as above,,
DB UT - Create file share ACL DB entry,If profile id is empty,FS_TC_127,same as above,,
DB UT - Create file share ACL DB entry,Empty Access To,FS_TC_128,same as above,,
DB UT - Create file share ACL DB entry,Invalid Ip Segment,FS_TC_129,same as above,,
DB UT - Create file share ACL DB entry,Invalid Ip,FS_TC_130,same as above,,
DB UT - Create file share ACL DB entry,Empty accesscapability,FS_TC_131,same as above,,
DB UT - Create file share ACL DB entry,Invalid accesscapabilities,FS_TC_132,same as above,,
DB UT - Create file share ACL DB entry,Invalid fileshare id given,FS_TC_133,same as above,,
DB UT - Create file share snapahot DB entry ,snapshot name already exists,FS_TC_134,same as above,,
DB UT - Create file share snapahot DB entry ,"snapshot with name, fileshareId",FS_TC_135,same as above,,
DB UT - Create file share snapahot DB entry ,invalid fileshare snapshot description because it has some special characters,FS_TC_136,same as above,,
DB UT - Create file share snapahot DB entry ,invalid fileshare snapshot name because it has some special characters,FS_TC_137,same as above,,
DB UT - Create file share snapahot DB entry ,names starting 'snapshot' are reserved,FS_TC_138,same as above,,
DB UT - Delete file share snapahot DB entry ,When everything works fine,FS_TC_139,same as above,,
DB UT - Delete file share snapahot DB entry ,File status not available,FS_TC_140,same as above,,
Controller - Create file share,"With input BaseModel: &model.BaseModel{
                                Id: ""bd5b12a8-a101-11e7-941e-d77981b584d8"",
                        },
                        Name:        ""sample-fileshare"",
                        Description: ""This is a sample fileshare for testing"",
                        Size:        int64(1),
                        Status:      ""available"",
                        PoolId:      ""084bf71e-a102-11e7-88a8-e31fe6d52248"",
                        ProfileId:   ""1106b972-66ef-11e7-b172-db03f3689c9c"",
                        SnapshotId:  """",",FS_TC_141,same as above,,
controller - Delete file share,Delete file share snapshot by specifying by snapshotId,FS_TC_142,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_143,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_144,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_145,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_146,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_147,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_148,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_149,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_150,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_151,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_152,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_153,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_154,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_155,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_156,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_157,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_158,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_159,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_160,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_161,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_162,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_163,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_164,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_165,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_166,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_167,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_168,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_169,same as above,,
Delete file share snapshot,Delete file share snapshot by specifying by snapshotId,FS_TC_170,same as above,,
