Feature Scenario,Testcase Title,TestcaseId,Testcase Precondition,Testcase steps,Expected Result
Install OpenSDS,Default Install OpenSDS Components,Installer_TC_01,"1. Ubuntu 16.04 VM
2. Installed all dependencies mentioned in docs.sodafoundation
3. Update host_ip, install_from, etc.","1. Clean up VM
2. Installer Ansible
3. $ sudo -E ansible-playbook site.yml -i local.hosts ","1. Finish the installation without unknown/ignored failure
2. Processes, Services and Docker instances started and running
3. Dashboard is accessable and usable
4. CLI is accessable and usable 
5. Rest APIs accessable and responsive "
Uninstall OpenSDS,Default Uninstall OpenSDS Components,Installer_TC_02,"1. Ubuntu 16.04 VM
2. Installed all dependencies mentioned in wiki
3. Update host_ip, install_from, etc.",$ sudo -E ansible-playbook clean.yml -i local.hosts,1. All container insances must be stopped
Install OpenSDS with Sushi,Install with sushi_plugin_type: csi,Installer_TC_03,"1. Ubuntu 16.04 VM
2. Installed all dependencies mentioned in wiki
3. modify to sushi_plugin_type: csi",$ sudo -E ansible-playbook site.yml -i local.hosts,1. CLI must be accessable and usable
,,,,,
,,,,,
Install OpenSDS with Orchestration,Install with enable_telemetry_tools=false & enable_orchestration = true,Installer_TC_06,"1. Ubuntu 16.04 VM
2. Installed all dependencies mentioned in wiki
3. modify to enable_telemetry_tools=false & enable_orchestration = true",$ sudo -E ansible-playbook site.yml -i local.hosts,1. CLI must be accessable and usable
Install OpenSDS,Install with install_keystone_with_docker=false,Installer_TC_07,"1. Ubuntu 16.04 VM
2. Installed all dependencies mentioned in wiki
3. modify to install_keystone_with_docker=false",$ sudo -E ansible-playbook site.yml -i local.hosts,1. CLI must be accessable and usable
